1;"footer_text";"The Manor house is a XVII century listed building, with 3 independent apartments, placed in the oldest part of Porto in the heart of the historical center that has just been classified as world heritage. Belonging to my family since the XIX century, it has been recently restored. Placed in a strategic position, it has great views over the river Douro, and it takes only 5 minutes walking to downtown or to the river front, which is a magic place where it is still possible to feel the mood of the romantic XIX century sea port.The street where the house is located, one of the oldest street in Porto, is very quiet with almost no traffic.";"La bâtisse construite au XVII siècle est divisée en trois appartements indépendants et se situe au coeur du quartier le plus ancien de Porto, qui a été récemment classée au patrimoine de l’humanité La maison appartient à notre famille depuis le XIX siècle, et a été récemment entièrement rénovée
Placé de façon privilégiée, vous pourrez admirer la vue imprenable sur le Douro. Vous vous trouverez à 5 minutes à pied du centre-ville ou du fleuve, qui reste un endroit magique ou on peut encore ressentir l’atmosphère du port tel qu'il vivait au XIX siècle.
La rue ou se situe la maison est une des plus ancienne rue de Porto, et est très calme avec quasiment aucun trafic.";"blàblö";"Gebäude aus dem 17 Jahrhundert, es ist jetzt in drei independante Wohnungen aufgeteilt.  Es liegt  im Herzen den ältesten Porto. Diese Stadt wurde von kurzen in das Weltkurturerbe eingestuft. Das Gebäude gehört unserer Familie seit dem 19 Jahrhundert und wurde kürzlich ganz renoviert. Legen Sie sich in einen privilegierten Ort. Genießen Sie den uneinnehmbaren Blick Über des Douro; Sie finden sie sich 5 Minuten zu Fuß von der Innerstadt oder von den Fluss, der bleibt ein magischer Ort, da kann man noch die Atmosphäre des Hafen fühlen wie er im 19 Jahrhundert lebte. Die Straße wo das Gebäude steht ist eine des ältesten in Porto. Sie ist sehr still und ruhig, mit praktisch ohne Verkehr.";"espagnol"
2;"apartment";"Apartment";"Appartement";;"Wohnung";
3;"bedrooms";"Bedrooms";"Chambres";;"Zimmer";
4;"sleeps";"Sleeps";"Nombre de personnes";;"Anzahl den Personen";
6;"per_night";"per night";"par nuit";;"pro Nacht";
7;"per_week";"per week";"par semaine";;"pro Woche";
8;"bathroom";"Bathroom";"Salle de bain";;"Bade Zimmer";
9;"rates";"Rates";"Tarifs";;"Preise";
10;"minimum_stay";"Minimum stay (nights)";"Séjour minimum (nuits)";;"Mindestaufenthalt";
11;"description";"Description";"Description";;"Beschreibung";
12;"accomodation";"Accomodation";"Equipements";;"Einrichtung";
13;"dates";"Dates";"Dates";;"Termine";
14;"name_of_period";"Name of period";"Période";;"Periode";
15;"begins";"Begins";"De";;"von";
16;"ends";"Ends";"à";;"bis";
17;"week";"Week";"Semaine";;"Woche";
18;"night";"Night";"Nuit";;"Nacht";
19;"high_season";"High season";"Haute saison";;"Vollsaison";
20;"med_season";"Med Season";"Intermédiaire";;"Zwischen";
21;"nye";"New year's Eve";"Jour de l'an";;"Silvester";
22;"carnaval";"Carnival";"Carnaval";;"Karneval";
23;"easter";"Easter";"Pâques";;"Ostern";
24;"low_season";"Low season";"Basse saison";;"Nebensaison";
25;"summary";"Summary";"Résumé";;"Zusammenfassung";
26;"surface";"Surface";"Superficie";;"Oberflache";
27;"general";"General";"Général";;"im Allgemeinen";
28;"kitchen";"Kitchen";"Cuisine";;"Küche";
29;"firstname";"First name";"Prénom";;"Vorname";
30;"lastname";"Last name";"Nom";;"Name";
31;"country";"Country";"Pays";;"Land";
32;"phone";"Phone number";"Téléphone";;"Telefonnummer";
33;"janvier";"January";"janvier";;"Januar";
34;"fevrier";"February";"février";;"Februar";
35;"mars";"March";"mars";;"Märtz";
36;"avril";"April";"avril";;"April";
37;"mai";"May";"mai";;"Mai";
38;"juin";"June";"juin";;"Juni";
39;"juillet";"July";"juillet";;"Juli";
40;"aout";"August";"aout";;"August";
41;"septembre";"September";"septembre";;"September";
42;"octobre";"October";"octobre";;"Oktober";
43;"novembre";"November";"novembre";;"November";
44;"decembre";"December";"décembre";;"Dezember";
45;"arrival_date";"Arrival date";"Date d’arrivée";;"Ankunftsdatum";
46;"departure_date";"Departure date";"Date de d̩part";;"Abreisedatum";
47;"nb_pers";"Number of guests";"Nombre de personnes";;"Anzahl der Personen";
48;"message";"Message to the owner";"Message au propriétaire";;"Naricht an den Besitzer";
49;"send";"Send";"Envoyer";;"Senden";
50;"contact_owner";"Contact the owner";"Contacter le propriétaire";;"Den Besitzer anrufen";
51;"lastname_empty";"Please enter your last name";"Entrez votre nom S.V.P.";;"Bitte geben Sie Ihren Namen ein";
52;"email_empty";"Please enter a valid email address";"Entrez une adresse email valide";;"Geben Sie Ihre gültige e-mail Adresse";
53;"basement";"Basement";"Sous-sol";;"Unter Erdgeschoss";
54;"ground_floor";"Ground floor";"Rez-de-chaussée";;"Erdgeschoss";
55;"first_floor";"First floor";"1er étage";;"1 Obergeschoss";
56;"second_floor";"Second floor";"2ème étage";;"2 Obergeschoss";
57;"terrace";"40 square-meters private terrace";"Terrasse privative de 40m2";;"Privative Terrasse 40 m2";
58;"garden";"Private garden";"Jardin privatif";;"Privat Garten";
59;"appt_1";"100 m2 apartment, turned south, with 2 large windows facing the Douro river and the bridge built by Teofilo Seyrig, a student of Gustave Eiffel. The apartment is at the top floor of the Manor House and has a living room, a dining room, a large bedroom, a kitchen and a bathroom. It is a great place for one or two couples to feel this old shipping town, and to spend some time to relax. You can walk to the river to visit the Porto wine cellars at about 15 minutes distance from the Manor House.";"Appartement de 100 m2, orienté sud avec 2 grandes fenêtres donnant sur le Douro et le pont construit par Teofilo Seyrig, un disciple de Gustave Eiffel. L'appartement se situe au dernier étage de la Manor House, et a un séjour, une salle à manger, une grande chambre, une cuisine et une salle de bain. C'est un endroit idéal pour un ou deux couples pour sentir l’atmosphère de cette ancienne ville portuaire tout en se relaxant. Vous pourrez aisément rejoindre les caves de vins Porto à pied qui se trouvent a environ 15 minutes.";;"100 m2 Wohnung nach Suden orientiert, mit 2 breite Fenster mit Aussicht auf den Douro, und auch auf die Brücke von Teofilo Seyrig, ein Schuler von Gustave Eiffel. Die Wohnung befindet sich im obersten Stock des « Manor House ». Sie enthaltet ein Wohnzimmer, ein Esszimmer, ein Großes Schlafzimmer, ein Küche und ein Badezimmer. Sie ist ein ideales Ort für eins oder zwei Paare um die Atmosphäre dieser alte Hafenstadt zu spüren. Beim Entspannung  können Sie leicht die Weinkeller erreichen, Sie finden sich etwa 15 mn weiter zu Fuß.";
60;"surface_appt_1";"100m2";"100m2";;"100m2";
61;"bedrooms_appt_1";2;2;;2;
62;"sleep_appt_1";5;5;;5;
63;"furniture_general_1";"safe, laundry soap, towels provided, toilet paper, linen provided, hair dryer, soap, local maps, dining room (seating for 6 people), TV, DVD, Cable, High Speed internet (free Wifi).";"Sécuritaire, salle à manger (place pour 6 personnes), TV, DVD, câble, Internet haute vitesse gratuit. Lessive, serviettes, papier hygiénique, draps, sèche-cheveux, savon et cartes locales fournies.";;"Sicherheit, Speisesaal (bis 6 pers.)  TV,DVD,Kabel, Kostloss Wfi Internet, Waschmittel, Handtücher, Toiletten Papier, Bettlaken, Haartrockner, Seife, Karten.";
64;"furniture_kitchen_1";"fridge, freezer, microwave, washing machine, coffee maker, toaster, iron &amp; board, cooking ustensils, hob, 4 ring stove";"Réfrigérateur, congélateur, micro-onde, machine à laver, machine à caf̩é, grille-pain, planche et fer à repasser, ustensiles de cuisines, hotte, 4 plaques de cuisson ̩électriques ";;"Kühlschrank, Tiefkühltruhe, Mikrowelle,  Waschmaschine, Kaffeemaschine, Toaster, Bügeleisen und Brett, Geschirr, Rauchfang, Herd mit 4 Herdplatten";
65;"bedrooms_queen_1";"1 bedroom with 1 queen size bed (160cm) + 1 bedroom with a full size bed (140cm)";"1 chambre avec un grand lit 2 places (160cm) + 1 chambre avec un lit deux places (140 cm)";;"Ein Schlafzimmer mit Doppelbett für 2 personen (160cm) + Ein Schlafzimmer mit Doppelbett für 2 personen (140 cm)";
66;"toilet_bath_1";"Toilet, Bath with Shower.";"Toilettes, baignoire avec douche.";;"Toiletten, Badewanne mit Dusche";
67;"appt_2";"120 M2 apartment, turned south, with all the windows of the living room and the bedrooms facing the Douro river and the bridge built by Teofilo Seyrig, a student of Gustave Eiffel. The apartment is at the first floor of the Manor House, and has a large living/dining room, two bedrooms, a charming hall, a large kitchen and a one bathroom. It is the ideal place for a family or two couples to feel this old shipping town and to spend some time to relax. You can walk to the river to visit the Porto wine cellars at about 15 minutes distance from the Manor House.";"Appartement de 120 m2, orienté sud avec toutes les fenêtres du salon/salle à manger et des chambres donnant sur le Douro et le pont construit par Teofilo Seyrig, un disciple de Gustave Eiffel. L'appartement se situe au premier étage de la Manor House, et a un grand salon/salle à manger, deux chambres, une grande cuisine et une salle de bain. C'est un endroit idéal une famille ou deux couples pour sentir l’atmosphère de cette ancienne ville portuaire tout en se relaxant. Vous pourrez aisément rejoindre les caves de vins Porto à pied qui se trouvent à environ 15 minutes.";;"Wohnung 120 m2, Richtung Süden, alle Fenster mit Aussicht auf den DOURO und die Brücke von Teofilo Seyrig, ein Schuler von Gustave Eiffel. Die Wohnung liegt im ersten stock des Herrenhauses (Manor House) Sie besteht aus einen Großen Wohn/ Esszimmer ,2 Schlafzimmer, eine Große Küche und ein Badezimmer. Es ist ein idealer platz für eine Familie oder 2 Paare um die Atmosphäre dieser alte Hafenstadt zu spüren. Beim Entspannung können Sie leicht die Weinkeller erreichen, Sie finden sich etwa 15 mn weiter zu Fuß.";
68;"surface_appt_2";"120m2";"120m2";;"120m2";
69;"bedrooms_appt_2";2;2;;2;
70;"sleep_appt_2";4;4;;4;
71;"furniture_general_2";"safe, laundry soap, towels provided, toilet paper, linen provided, hair dryer, soap, local maps, dining room (seating for 10 people), TV, DVD, Cable, High Speed internet (free Wifi), child bed.";"Sécuritaire, salle à manger (place pour 10 personnes), TV, DVD, câble, Internet haute vitesse gratuit. Lessive, serviettes, papier hygiénique, draps, lit enfant, sèche-cheveux, savon et cartes locales fournies.";;"Sicherheit, Speisesaal (bis 10 pers.)  TV,DVD,Kabel, Kostloss Wifi Internet, Waschmittel, Handtücher, Toiletten papier, Bettlaken, Kinderbett, Haartrockner, Seife, Karten.";
72;"furniture_kitchen_2";"fridge, freezer, microwave, washing machine, coffee maker, toaster, iron &amp; board, cooking ustensils, hob, 4 ring stove";"Réfrigérateur, congélateur, micro-onde, machine à laver, machine à caf̩é, grille-pain, planche et fer à repasser, ustensiles de cuisines, hotte, 4 plaques de cuisson ̩électriques ";;"Kühlschrank, Tiefkühltruhe, Mikrowelle,  Waschmaschine, Kaffeemaschine, Toaster, Bügeleisen und Brett, Geschirr, Rauchfang, Herd mit 4 Herdplatten";
73;"bedrooms_queen_2";"2 bedrooms with 2 queen size bed (one of them can be separated in two single beds).";"2 chambres avec 2 grands lits 2 places (160cm), dont un peut être séparé en deux lits simples.";;"2 Schlafzimmer mit 2 Doppelbette (160cm) Einer Kann in 2 einzelbetten entscheidet sein";
74;"toilet_bath_2";"Toilet, Bath with Shower.";"Toilettes, baignoire avec douche.";;"Toiletten, Badezimmer  mit Dusche";
75;"appt_3";"160 M2 apartment, turned south, with an amazing 40m2 terrace with lemon trees facing the Douro river and the bridge built by Teofilo Seyrig, a student of Gustave Eiffel. The apartment is at the ground floor (street level) of the Manor House, and has a living room with a direct access to the terrace, three bedrooms (one with an access to the terrace), an office with an additional single bed, a kitchen and a one bathroom. It is the ideal place for a large family or group of two or three couples to feel this old shipping town and to spend some time to relax. You can walk to the river to visit the Porto wine cellars at about 15 minutes distance from the Manor House.";"Appartement de 160 m2, orienté sud avec une grande terrasse de 40m2, arborée de citronniers, donnant sur le Douro et le pont construit par Teofilo Seyrig, un disciple de Gustave Eiffel. L'appartement se situe au rez-de-chausée de la Manor House, et a un salon/salle à manger donnant sur la terrasse, trois grandes chambres dont une avec un accès direct sur la terrasse, un bureau avec un lit supplémentaire pour une personne, une cuisine et une salle de bain. C'est un endroit idéal pour une grande famille ou un groupe de deux ou trois couples pour sentir l’atmosphère de cette ancienne ville portuaire tout en se relaxant. Vous pourrez aisément rejoindre les caves de vins de Porto à pied qui se trouvent a environ 15 minutes.";;"Wohnung  160 m2,nach Süden  ausgerichtet mit einer Großen Terrasse von 40 m2, mit Zitronen Bäume, und mit Aussicht auf den Douro, und auch auf die Brücke von Teofilo Seyrig,ein Schuler von Gustave Eiffel. Die Wohnung befindet sich im Erdgeschoss des Herrenhauses, und hat einen Wohn/Esszimmer mit Zugang auf die Terrasse,3 Große Schlafzimmer , ein mit direkt Zugang zur Terrasse, ein Büro mit einem zusätzlichen Bett, für eine Person. Eine Küche und ein Badezimmer. Es ist ein idealer platz für eine Große Familie oder eine Gruppe von 2 oder 3 Paare um die Atmosphäre dieser alte Hafenstadt zu spüren. Beim Entspannung können Sie leicht die Weinkeller erreichen, Sie finden sich etwa 15 mn weiter zu Fuß.";
76;"surface_appt_3";"160m2 + 40m2 (Terrace)";"160m2 + 40m2 (Terrasse)";;"160m2 + 40m2 (Terrasse)";
77;"bedrooms_appt_3";3;3;;3;
78;"sleep_appt_3";7;7;;7;
79;"furniture_general_3";"safe, laundry soap, towels provided, toilet paper, linen provided, hair dryer, soap, local maps, dining room (seating for 10 people), TV, DVD, Cable, High Speed internet (free Wifi), child bed.";"Sécuritaire, salle à manger (place pour 10 personnes), TV, DVD, câble, Internet haute vitesse gratuit. Lessive, serviettes, papier hygiénique, draps, lit enfant, sèche-cheveux, savon et cartes locales fournies.";;"Sicherheit, Speisesaal (bis 10 pers.)  TV,DVD,Kabel, Kostloss Wifi Internet, Waschmittel, Handtücher, Toiletten papier, Bettlaken, Kinderbett, Haartrockner, Seife, Karten.";
80;"furniture_kitchen_3";"fridge, freezer, microwave, washing machine, coffee maker, toaster, iron &amp; board, cooking ustensils, hob, 4 ring stove";"Réfrigérateur, congélateur, micro-onde, machine à laver, machine à caf̩é, grille-pain, planche et fer à repasser, ustensiles de cuisines, hotte, 4 plaques de cuisson ̩électriques ";;"Kühlschrank, Tiefkühltruhe, Mikrowelle,  Waschmaschine, Kaffeemaschine, Toaster, Bügeleisen und Brett, Geschirr, Rauchfang, Herd mit 4 Herdplatten";
81;"bedrooms_queen_3";"3 bedrooms with 3 queen size bed, 1 single bed in the office room.";"3 chambres avec trois grands lits 2 places (160cm), et un lit simple supplémentaire dans le bureau.";;"3 Schlafzimmer mit 3 Doppelbetten (160 cm) und einem zustellbett im Büro";
82;"toilet_bath_3";"Toilet with Shower.";"Toilettes, douche.";;"Toiletten, und Dusche";
83;"appt_4";"There is a fourth apartment that will be available soon in the basement (garden level). Keep checking the web site for more information. ";"Un appartement supplémentaire est en cours de rénovation et sera bientôt disponible au sous-sol de la Manor House. Il donne directement sur le jardin à l'arrière de la maison, avec la vue sur le Douro et le pont construit par Teofilo Seyrig, un disciple de Gustave Eiffel. Revenez régulièrement sur le site pour consulter les nouvelles.";;"Eine andere Wohnung befindet sich im Umbau und wird bald bereit sein. Mit direkt Zugang zu dem Garten, hinter das Haus. Mit Aussicht auf dem DOURO. Kommen Sie regelmässig auf Website um zu Neuigkeiten Konsultieren.";
84;"surface_appt_4";"~60m2";"~60m2";;"60 m2";
85;"bedrooms_appt_4";"TBD";"N.C";;"---";
86;"sleep_appt_4";"TBD";"N.C";;"---";
87;"furniture_general_4";"---";"---";;"---";
88;"furniture_kitchen_4";"---";"---";;"---";
89;"bedrooms_queen_4";"---";"---";;"---";
90;"toilet_bath_4";"---";"---";;"---";
91;"footer_title";"About the Manor House...";"A propos de la maison...";;"Von Haus Zusammenhang...";
92;"speaks";"Speaks Portuguese, English, French";"Parle le Portugais, l'Anglais et le Français";;"Portugiesisch, Englisch, und Französisch gesprochen.";
93;"contact_title";"Contact :";"Contact :";;"Kontakt";
94;"share";"Share";"Partager";;"Teilen";
95;"site_description";"Manor House Porto – Luxury appartments rental in Oporto historic disctrict in Portugal";"Manor House Porto – Location d'appartements luxueux dans le quartier historique de Porto, Portugal";;"Manor House Porto - Luxus Wohnungen Vermietung, in das Historische Stadtteil von Porto, Portugal";
96;"site_keywords";"Manor house, rental, appartment, flat, luxury, Oporto, Portugal, travel";"Location, appartement, Porto, Portugal, voyage, luxe, historique";;"Vermietung, Wohnung, Porto, Portugal, reise, luxus, historisch";
97;"pers_supp";"All prices are for two guests. A surcharge of €25/night per additional guest is applicable.";"Les prix sont donnés pour deux personnes. Des frais de 25€ par nuit par personne supplémentaire sont applicables.";;"Die Preise sind für zwei Personen. Eine Gebühr von 25 € pro Nacht für jede weitere Person gilt.";
